,tile,gesamt,Abies,Acer,Aesculus,Ailanthus,Alnus,Amelanchier,Betula,Carpinus,Castanea,Catalpa,Cedrus,Celtis,Cercidiphyllum,Chamaecyparis,Cornus,Corylus,Crataegus,Cryptomeria,Davidia,Decaisnea,Euonymus,Fagus,Fraxinus,Ginkgo,Gleditsia,Ilex,Juglans,Juniperus,Koelreuteria,Laburnum,Larix,Liquidambar,Liriodendron,Magnolia,Malus,Malus-Hybride,Mespilus,Metasequoia,Metasequoia glyptostroboides,Nyssa,Parrotia,Paulownia,Picea,Pinus,Platanus,Populus,Prunus,Pseudotsuga,Pterocarya,Pyrus,Quercus,Robinia,Salix,Sambucus,Sequoiadendron,Sophora,Sorbus,Taxodium,Taxus,Thuja,Tilia,Tsuga,Ulmus,Viburnum,Zelkova,x,y
121,dop10rgbi_32_400_5748_1_nw_2020.jp2,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,5748
122,dop10rgbi_32_404_5757_1_nw_2020.jp2,1120,0,94,19,3,9,0,38,137,1,2,0,1,0,0,0,27,2,0,0,0,0,26,35,3,1,0,1,1,0,0,0,5,2,7,0,10,0,0,0,5,0,2,3,2,119,7,27,1,1,6,22,8,17,0,0,1,15,0,6,0,452,0,2,0,0,404,5757
123,dop10rgbi_32_402_5760_1_nw_2020.jp2,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,402,5760
124,dop10rgbi_32_408_5752_1_nw_2020.jp2,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,5752
125,dop10rgbi_32_406_5755_1_nw_2020.jp2,53,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,406,5755
126,dop10rgbi_32_400_5762_1_nw_2020.jp2,112,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,400,5762
127,dop10rgbi_32_405_5752_1_nw_2020.jp2,137,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,15,0,0,0,51,0,0,0,0,405,5752
128,dop10rgbi_32_404_5753_1_nw_2020.jp2,65,0,9,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,22,0,0,0,0,0,10,0,0,0,5,0,0,0,0,404,5753
129,dop10rgbi_32_409_5753_1_nw_2020.jp2,167,0,50,5,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,41,0,0,0,0,0,3,0,0,0,14,0,0,0,0,409,5753
130,dop10rgbi_32_407_5754_1_nw_2020.jp2,259,0,32,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,0,0,0,0,18,0,0,0,105,0,0,0,0,407,5754
