,400,401,402,403,404,405,406,407,408,409
gesamt,0.03236060779451968,0.09587386356411723,0.15032742068790134,0.28361625023841314,0.48372433085383687,0.6785873227795791,0.8182974124229131,0.9011380253035793,0.969133447771632,1.0
Abies,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Acer,0.04077584306810668,0.09609874366321358,0.11858055984130483,0.2968922195283227,0.5408860480493718,0.7161119682609653,0.8289618690764823,0.926603482477408,0.9808243332598634,1.0
Aesculus,0.001834862385321101,0.03302752293577982,0.03853211009174312,0.13944954128440368,0.3284403669724771,0.4990825688073395,0.763302752293578,0.9155963302752294,0.9798165137614679,1.0
Ailanthus,0.0,0.0,0.1388888888888889,0.2222222222222222,0.5,0.6388888888888888,0.7222222222222222,0.7777777777777778,1.0,1.0
Alnus,0.0,0.0,0.04430379746835443,0.37341772151898733,0.6329113924050633,0.8354430379746836,0.8987341772151899,0.9493670886075949,0.9683544303797469,1.0
Amelanchier,0.05333333333333334,0.09333333333333334,0.13333333333333333,0.5333333333333333,0.9466666666666667,0.96,1.0,1.0,1.0,1.0
Betula,0.07167630057803469,0.11676300578034682,0.1283236994219653,0.24277456647398843,0.40578034682080927,0.4936416184971098,0.6265895953757226,0.7283236994219653,0.8786127167630058,1.0
Carpinus,0.028112449799196786,0.06147667593450726,0.146122953351869,0.3089280197713933,0.5458758109360519,0.7262897744825456,0.8578931109051591,0.9122644423849243,0.9660179178251468,1.0
Castanea,0.0,0.0,0.0,0.0625,0.5625,0.6875,0.8125,0.875,1.0,1.0
Catalpa,0.0,0.0,0.0,0.045454545454545456,0.5909090909090909,0.7727272727272727,1.0,1.0,1.0,1.0
Cedrus,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
Celtis,0.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0
Cercidiphyllum,0.0,0.0,0.0,0.043478260869565216,0.21739130434782608,0.6956521739130435,1.0,1.0,1.0,1.0
Chamaecyparis,0.0,0.0,0.0,0.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0
Cornus,0.0,0.09090909090909091,0.09090909090909091,0.3181818181818182,1.0,1.0,1.0,1.0,1.0,1.0
Corylus,0.009162303664921465,0.02225130890052356,0.09031413612565445,0.18848167539267016,0.36518324607329844,0.7604712041884817,0.893979057591623,0.943717277486911,0.9895287958115183,1.0
Crataegus,0.0,0.03571428571428571,0.06845238095238096,0.23809523809523808,0.45535714285714285,0.6577380952380952,0.7857142857142857,0.8958333333333334,0.9970238095238095,1.0
Cryptomeria,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Davidia,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
